Solution,Time,Objective
0,344.3000719547272,144080.0
1,345.67135190963745,140230.0
2,349.69388484954834,139585.0
3,350.795695066452,139525.0
4,355.81193590164185,138290.0
5,357.79162192344666,129805.0
6,362.4737410545349,127600.0
7,367.3039028644562,126970.0
8,368.10409688949585,122860.0
9,369.6438248157501,117395.0
10,372.9381251335144,116495.0
11,374.50923204421997,95540.0
12,375.6694850921631,94245.0
13,377.17856884002686,85770.0
14,379.0758340358734,85530.0
15,380.06207299232483,75720.0
16,382.83234786987305,65905.0
17,384.6461579799652,65785.0
18,384.7998719215393,64555.0
19,386.86016297340393,60135.0
20,388.226047039032,60110.0
21,390.23913383483887,60050.0
22,391.6182441711426,53145.0
23,392.54973793029785,53100.0
24,393.21898794174194,52975.0
25,394.841824054718,49365.0
26,396.5167679786682,49335.0
27,399.74838304519653,48915.0
28,400.55615997314453,47805.0
29,403.2434628009796,47740.0
30,405.3426830768585,47715.0
31,405.6460049152374,46375.0
32,406.8777289390564,45790.0
33,408.68720412254333,45610.0
34,410.23770904541016,41575.0
35,413.1594030857086,40975.0
36,414.1004960536957,39720.0
37,416.6399929523468,39675.0
38,419.5718059539795,38075.0
39,421.8705909252167,36955.0
40,422.70587706565857,36100.0
41,427.974730014801,33940.0
42,430.4364478588104,32320.0
43,431.8248450756073,32230.0
44,435.09512591362,31575.0
45,442.5540678501129,31355.0
46,450.7698838710785,31130.0
47,454.55106711387634,29310.0
48,455.62365102767944,27765.0
49,459.0343370437622,27615.0
50,460.6984989643097,27195.0
51,464.56314182281494,25975.0
52,465.96398997306824,25580.0
53,468.6475410461426,25530.0
54,470.73677587509155,25440.0
55,474.04938220977783,25260.0
56,474.76157307624817,25170.0
57,477.1632161140442,25030.0
58,479.81737995147705,25020.0
59,483.21042704582214,24805.0
60,485.7716329097748,24795.0
61,486.92662501335144,24745.0
62,489.79264783859253,24730.0
63,491.3234980106354,24715.0
64,492.5813179016113,24690.0
65,496.0640151500702,24410.0
66,498.748183965683,24280.0
67,502.91182494163513,24170.0
68,506.115562915802,24030.0
69,511.9987518787384,23955.0
70,513.9691369533539,23880.0
71,517.1145069599152,23850.0
72,524.6718518733978,23830.0
73,527.538458108902,23775.0
74,535.1736719608307,23745.0
75,536.9893529415131,23715.0
76,540.2627580165863,23675.0
77,543.9888408184052,23645.0
78,546.4580390453339,23540.0
79,551.6711790561676,23535.0
80,558.5710499286652,23525.0
81,561.9101438522339,23415.0
82,563.7379310131073,23355.0
83,569.8547048568726,23240.0
84,573.4150178432465,23210.0
85,575.0492920875549,23195.0
86,578.6434679031372,23165.0
87,579.7182269096375,23140.0
88,582.7494189739227,23110.0
89,585.8386008739471,23050.0
90,589.0180690288544,12555.0
91,595.1501669883728,12535.0
92,604.2291078567505,12495.0
93,609.4216680526733,12460.0
94,612.3836369514465,12455.0
95,615.2598810195923,12425.0
96,623.8018391132355,12365.0
97,633.058974981308,12340.0
98,636.1774997711182,12275.0
99,638.2030720710754,12245.0
100,643.7859041690826,12230.0
101,648.9001798629761,12225.0
102,653.0658769607544,12145.0
103,658.8035011291504,12110.0
104,666.7438859939575,12095.0
105,671.0369288921356,12080.0
106,672.5939571857452,12065.0
107,678.8806140422821,12030.0
108,692.3782320022583,12015.0
109,707.2373299598694,12010.0
110,722.8990461826324,11965.0
111,726.7717299461365,11950.0
112,748.1041839122772,11935.0
113,762.4714870452881,11925.0
114,780.9472661018372,11915.0
115,832.2088980674744,11905.0
116,867.0923268795013,11895.0
117,930.3480999469757,11890.0
118,932.5754899978638,11880.0
119,937.4788439273834,11840.0
120,954.1476619243622,11830.0
121,956.1318759918213,11825.0
122,1032.6750090122223,11795.0
123,1037.645518064499,11755.0
