Solution,Time,Objective
0,947.2435162067413,198810.0
1,950.2092101573944,197040.0
2,968.9152591228485,196050.0
3,983.0232512950897,190860.0
4,995.334929227829,189045.0
5,1004.1847012042999,188535.0
6,1005.989586353302,186245.0
7,1011.2276952266693,185915.0
8,1015.5330002307892,185725.0
9,1016.5229880809784,176795.0
10,1018.6333191394806,167370.0
11,1021.3852741718292,167150.0
12,1023.1045482158661,163485.0
13,1024.75625705719,159655.0
14,1028.8018472194672,159505.0
15,1031.997812986374,157380.0
16,1036.0681142807007,156950.0
17,1039.4146931171417,156725.0
18,1041.6027829647064,154525.0
19,1045.282252073288,154455.0
20,1046.8997540473938,154015.0
21,1052.8448822498322,150720.0
22,1056.4625132083893,133930.0
23,1059.6465451717377,132195.0
24,1063.8969962596893,132150.0
25,1065.5878791809082,129710.0
26,1069.3099660873413,129425.0
27,1073.201499223709,129260.0
28,1078.7091271877289,125950.0
29,1081.928619146347,125770.0
30,1084.8945322036743,125350.0
31,1088.0129101276398,118105.0
32,1091.3157241344452,117895.0
33,1093.8731000423431,114050.0
34,1096.0220310688019,104345.0
35,1098.875009059906,104020.0
36,1101.668104171753,99300.0
37,1105.2796280384064,99270.0
38,1105.9959571361542,89575.0
39,1110.6319103240967,86505.0
40,1114.046727180481,86385.0
41,1115.913957118988,85670.0
42,1117.8371481895447,84130.0
43,1122.7804200649261,84085.0
44,1125.120488166809,82680.0
45,1132.7650532722473,80540.0
46,1135.31303024292,80480.0
47,1137.058321237564,79480.0
48,1140.0024230480194,79470.0
49,1145.5254001617432,73465.0
50,1146.7916750907898,73455.0
51,1150.8552021980286,68765.0
52,1155.4659612178802,66165.0
53,1157.9454891681671,66135.0
54,1160.1551122665405,66120.0
55,1162.2435131072998,66090.0
56,1167.1589360237122,64620.0
57,1176.3198771476746,63590.0
58,1184.3709380626678,62180.0
59,1186.7989649772644,61275.0
60,1193.5232949256897,60280.0
61,1198.61084318161,60100.0
62,1201.2182352542877,59335.0
63,1207.2785000801086,58665.0
