Solution,Time,Objective
0,1557.1402850151062,186785.0
1,1560.4852349758148,180695.0
2,1570.601168870926,178995.0
3,1590.532462835312,173605.0
4,1600.0860528945923,173485.0
5,1607.498461008072,172450.0
6,1608.2877190113068,169455.0
7,1612.735326051712,160105.0
8,1619.3135781288147,158500.0
9,1620.972872018814,153585.0
10,1627.2239031791687,151500.0
11,1633.388897895813,151140.0
12,1634.380280971527,146620.0
13,1640.0509309768677,144670.0
14,1646.2295780181885,144060.0
15,1647.9002249240875,143055.0
16,1652.033665895462,142940.0
17,1656.828608751297,142880.0
18,1660.337609052658,139775.0
19,1667.6615829467773,138055.0
20,1670.8524718284607,136470.0
21,1675.1526138782501,136110.0
22,1677.986701965332,128440.0
23,1681.8593599796295,128380.0
24,1681.9071350097656,126690.0
25,1685.5083920955658,126320.0
26,1687.3010199069977,123145.0
27,1690.6434919834137,121200.0
28,1695.2263708114624,120780.0
29,1697.7630128860474,116240.0
30,1700.300050020218,116080.0
31,1705.4030148983002,115300.0
32,1707.1769618988037,113740.0
33,1711.49533700943,106115.0
34,1714.513249874115,103425.0
35,1719.7256698608398,103185.0
36,1724.323250055313,102645.0
37,1726.1483721733093,100830.0
38,1730.9336531162262,100765.0
39,1731.0807559490204,100560.0
40,1733.3370308876038,99270.0
41,1741.5294370651245,99210.0
42,1744.4075429439545,94405.0
43,1752.8952610492706,94275.0
44,1753.5333590507507,92585.0
45,1755.4437668323517,92420.0
46,1760.5222690105438,92360.0
47,1762.251019001007,91325.0
48,1769.240119934082,90925.0
49,1773.4034378528595,90905.0
50,1773.6956520080566,90700.0
51,1780.126830816269,88970.0
52,1783.5461180210114,88765.0
53,1787.6271460056305,88405.0
54,1790.095890045166,86385.0
55,1792.6603019237518,86365.0
56,1796.637456893921,86155.0
57,1798.7766280174255,84865.0
58,1803.4488458633423,84785.0
59,1806.5528099536896,84720.0
60,1807.3402740955353,84695.0
61,1810.187247991562,83955.0
62,1814.90669298172,83945.0
63,1818.8007850646973,83915.0
64,1823.0128321647644,83735.0
65,1828.3903279304504,83705.0
66,1831.2799499034882,66945.0
67,1835.798299074173,66485.0
68,1841.469803094864,66470.0
69,1848.5803711414337,66240.0
70,1854.3505120277405,66210.0
71,1863.9030570983887,66130.0
72,1866.5169219970703,65935.0
73,1868.4170579910278,65920.0
74,1872.9391088485718,65835.0
75,1875.5863609313965,65825.0
76,1883.2717130184174,65700.0
77,1892.1351959705353,65670.0
78,1904.2379670143127,65485.0
79,1909.4731240272522,65470.0
80,1911.1157319545746,65410.0
81,1924.865769147873,65355.0
82,1950.2432260513306,65325.0
83,1954.4698679447174,65315.0
84,1957.8945710659027,65255.0
85,1962.3501138687134,65185.0
86,1965.0945129394531,65115.0
87,1971.774034023285,64995.0
88,1974.7148177623749,64950.0
89,1977.565351009369,64470.0
90,1978.0069589614868,63940.0
91,1980.724596977234,63925.0
92,1987.698599100113,58810.0
93,1999.3524618148804,57720.0
94,2010.0374739170074,55575.0
95,2019.5388729572296,53330.0
96,2022.658987045288,53315.0
97,2024.8141520023346,53040.0
98,2028.7533469200134,51315.0
99,2033.6131768226624,51195.0
100,2040.3035159111023,51165.0
101,2040.3382098674774,48000.0
102,2044.3561260700226,47940.0
103,2048.049971103668,46620.0
104,2053.0658810138702,46590.0
105,2056.5032529830933,46570.0
106,2064.3602499961853,44070.0
107,2069.5201077461243,44010.0
108,2073.314332008362,43940.0
109,2076.946214914322,43730.0
110,2080.160630941391,42320.0
111,2090.5034120082855,41370.0
112,2096.394057035446,41050.0
113,2102.3683869838715,40685.0
114,2115.1256968975067,40275.0
115,2123.3636860847473,40195.0
116,2125.802309989929,40165.0
117,2134.8297860622406,40135.0
118,2138.3511991500854,40085.0
119,2143.7943408489227,39890.0
120,2156.314390897751,39840.0
121,2164.230292081833,36880.0
122,2168.006283044815,36080.0
123,2172.2514090538025,36050.0
124,2175.695587873459,35930.0
125,2179.869419813156,35870.0
126,2183.281352043152,35445.0
127,2190.9501478672028,35235.0
128,2198.2002930641174,35220.0
129,2202.6588068008423,35100.0
130,2209.5927498340607,35085.0
131,2215.545567035675,34960.0
132,2229.847909927368,34955.0
133,2233.05113196373,34880.0
134,2270.006170988083,34625.0
135,2282.047472000122,34475.0
136,2289.763510942459,34415.0
137,2298.450668811798,34385.0
138,2301.052978038788,34305.0
139,2303.385238170624,34260.0
140,2310.6351709365845,34245.0
141,2324.48401594162,32820.0
142,2334.583359003067,31690.0
143,2338.0331180095673,28050.0
144,2349.438724040985,28030.0
145,2351.1627140045166,16020.0
146,2355.7921738624573,16000.0
147,2364.596391916275,15915.0
148,2368.590534925461,15890.0
149,2381.0764360427856,15815.0
150,2387.687950849533,15800.0
151,2393.929766893387,15770.0
152,2403.740742921829,15755.0
153,2414.757430076599,15735.0
154,2418.134407043457,15690.0
155,2424.925899744034,15620.0
156,2433.0331740379333,15570.0
157,2445.2446010112762,15540.0
158,2456.1491360664368,15520.0
159,2469.4110128879547,15490.0
160,2487.823559999466,15460.0
161,2502.7422518730164,15420.0
162,2506.187231063843,15400.0
163,2534.997724056244,15385.0
164,2538.6121151447296,15300.0
165,2557.428862094879,15230.0
166,2565.3659830093384,15220.0
167,2577.382714986801,15150.0
168,2584.7684569358826,15100.0
169,2590.2975828647614,15070.0
170,2610.7394409179688,15040.0
171,2614.6699390411377,15030.0
172,2620.967894077301,15020.0
173,2629.9343881607056,14960.0
174,2637.730679988861,14930.0
175,2644.3447320461273,14910.0
176,2654.0045289993286,14880.0
177,2665.751546859741,14760.0
178,2666.2336869239807,14150.0
179,2675.6739439964294,14120.0
180,2678.625152826309,14110.0
181,2681.9527790546417,14070.0
182,2692.476573944092,14060.0
183,2720.2693779468536,14040.0
184,2723.9186429977417,14020.0
185,2727.7526400089264,13990.0
186,2736.3045358657837,13940.0
187,2743.6462590694427,13760.0
188,2758.88974404335,13720.0
189,2786.3840091228485,13700.0
190,2796.719076871872,13680.0
191,2823.089761018753,13590.0
192,2867.6254868507385,13570.0
193,2925.3289680480957,13550.0
194,2945.911891937256,13535.0
195,3031.010997056961,13520.0
196,3045.345150947571,13505.0
197,3053.684289932251,13500.0
198,3075.6528759002686,13485.0
199,3122.8113408088684,13470.0
200,3128.1699800491333,13455.0
201,3137.31738615036,13395.0
202,3220.569750070572,13380.0
203,3228.2341480255127,13375.0
204,3236.771889925003,13365.0
205,3256.187907934189,13355.0
206,3271.3821001052856,13340.0
207,3295.246785879135,13330.0
208,3297.812273979187,13320.0
209,3307.138874053955,13300.0
210,3315.2526779174805,13270.0
