ID,Average Solution,Best Solution, Standard Deviation, Variance, Total assignment constraints, Consecutive constraints, Non working days constraints, Preferences, Max working weekend, Complete weekends, Optimal coverage constraints
030-4-1-6-2-9-1, 9813, 9270, 352.2, 124056, 1768, 5331, 129, 77, 1392, 534, 582
030-4-1-6-7-5-3, 10079.5, 9290, 510.2, 260392.2, 1736, 5503.5, 237, 158, 1374, 582, 496.6
035-4-1-0-6-9-2, 11241.5, 10130, 558.9, 312465.2, 1926, 6109.5, 435, 155, 1515, 591, 510
035-4-0-1-7-1-8, 11656.1, 10650, 615.4, 378754.3, 1975.5, 6401.6, 616.6, 235.5, 1596.6, 523.3, 306.6
035-4-0-4-2-1-6, 11144.5, 10100, 657.9, 432917.2, 1908, 6202.5, 360, 180, 1440, 600, 270
035-4-0-5-9-5-6, 12654, 12215, 228.6, 52299, 2360, 6375, 750, 90, 1650, 540, 450
035-4-2-8-6-7-1, 11004, 10135, 481.6, 232019, 1780, 5085, 540, 180, 1440, 600, 510
035-4-0-9-8-7-7, 11238, 9980, 769.7, 592501, 1880, 5760, 240, 240, 1290, 390, 180
040-4-0-2-0-6-1, 16158.5, 14140, 922.9, 851885.2, 2140, 6510, 2160, 330, 1650, 750, 600
040-4-2-6-1-0-6,
